idx,open,high,low,close,volume
469,76402.01,76455.01,76395.62,76440.01,22.5279
470,76440.01,76440.01,76350.00,76370.01,23.5978
471,76370.01,76434.36,76370.00,76434.35,17.5668
472,76434.35,76457.79,76356.00,76388.78,32.6898
473,76388.78,76403.60,76369.30,76369.31,10.8849
474,76369.31,76400.01,76346.14,76394.33,22.8515
475,76394.32,76394.33,76303.43,76310.01,14.6660
476,76310.01,76310.01,76221.19,76221.19,27.3819
477,76221.19,76232.01,76179.00,76192.00,35.8000
478,76192.01,76248.51,76192.01,76218.01,21.8383
479,76218.01,76255.00,76206.00,76251.00,22.1490
480,76251.00,76488.73,76247.51,76482.00,77.9972
481,76482.00,76565.19,76398.93,76502.83,59.2651
482,76502.84,76558.01,76428.00,76558.00,56.8479
483,76558.01,76820.00,76540.00,76820.00,86.9846
484,76819.99,76958.00,76814.29,76957.99,89.0628
485,76957.98,76993.69,76888.17,76927.91,74.8653
486,76927.91,76999.01,76919.15,76996.77,55.0783
487,76996.76,77179.47,76888.62,77044.26,320.8347
488,77044.27,77053.12,76930.28,76938.16,40.0649
489,76938.15,76944.24,76865.78,76870.18,58.3914
490,76870.18,76907.73,76792.00,76792.00,54.9165
491,76792.00,76896.31,76787.00,76788.00,31.8263
492,76788.01,76828.28,76734.65,76736.59,42.1125
493,76736.59,76889.66,76714.00,76859.42,84.0561
494,76859.42,76859.42,76677.00,76678.48,43.5748
495,76678.48,76740.00,76637.00,76659.30,48.1939
496,76659.30,76745.53,76650.00,76682.00,24.4723
497,76682.01,76714.88,76600.99,76614.01,34.8260
498,76614.00,76618.01,76465.11,76472.01,68.8191
499,76472.01,76584.01,76314.00,76366.01,114.2679
500,76366.01,76394.01,76000.00,76020.01,194.2200
501,76020.01,76219.31,76020.01,76152.00,115.2700
502,76152.01,76436.01,76054.00,76350.01,95.9345
503,76350.01,76657.76,76350.01,76508.95,129.9079
504,76508.95,76694.07,76501.17,76694.07,59.8310
505,76694.06,76772.01,76400.00,76421.91,114.4241
506,76421.90,76691.65,76391.44,76666.01,73.0038
507,76666.00,76983.14,76650.00,76965.72,142.6383
508,76965.72,76965.73,76706.00,76752.42,75.6394
509,76752.42,76954.86,76752.41,76954.86,80.3157
510,76954.85,77088.05,76879.34,76943.57,154.6197
511,76943.57,77014.01,76808.00,76830.87,98.5885
512,76830.87,76881.23,76726.66,76756.65,49.1638
513,76756.66,76813.23,76612.00,76620.54,45.8875
514,76620.53,76727.94,76620.00,76699.98,26.2327
515,76699.97,76724.31,76614.85,76645.64,33.0391
516,76645.64,76655.01,76500.00,76502.46,47.7200
517,76502.45,76502.46,76321.80,76358.46,58.7809
518,76358.47,76427.95,76292.00,76386.40,44.6712
519,76386.40,76386.40,76275.00,76350.26,29.4170
520,76350.25,76455.38,76287.23,76397.20,29.9437
521,76397.20,76422.96,76342.38,76370.90,23.3387
522,76370.90,76464.01,76370.89,76464.01,20.1337
523,76464.01,76534.01,76451.88,76516.22,31.3936
524,76516.23,76700.00,76507.95,76700.00,46.1736
525,76699.99,76862.85,76690.65,76766.28,45.1756
526,76766.28,76766.28,76628.34,76633.33,29.7662
527,76633.33,76800.00,76604.58,76741.90,66.1281
528,76741.91,76780.01,76662.00,76780.01,47.4426
529,76780.01,76811.39,76740.36,76740.36,34.4873
530,76740.36,76777.35,76668.00,76751.14,41.9017
531,76751.14,76751.14,76685.39,76731.47,23.4642
532,76731.47,76796.38,76692.54,76711.29,83.0456
533,76711.30,76794.22,76676.00,76765.32,32.4781
534,76765.32,76765.32,76676.01,76710.79,18.2456
535,76710.79,76713.66,76534.00,76600.28,96.5363
536,76600.28,76652.01,76571.37,76627.09,49.4402
537,76627.09,76706.01,76589.07,76706.01,42.3524
538,76706.01,76746.01,76601.60,76626.22,51.9465
539,76626.21,76740.01,76623.34,76668.42,52.1965
540,76668.42,76753.46,76591.58,76753.46,70.4499
541,76753.46,76920.70,76736.13,76906.68,166.4402
542,76906.68,76915.04,76852.78,76893.00,51.1685
543,76892.99,76893.00,76820.00,76820.01,33.9483
544,76820.01,76862.01,76768.53,76848.00,29.2938
545,76848.01,76950.00,76848.00,76896.86,102.4896
546,76896.86,76924.97,76860.00,76924.97,40.9350
547,76924.97,76950.00,76846.02,76949.99,39.3878
548,76949.99,76970.01,76792.04,76794.00,51.5495
549,76794.00,76844.01,76716.00,76716.00,46.4532
550,76716.00,76716.00,76576.00,76634.01,86.9258
551,76634.01,76642.01,76579.39,76605.73,38.1715
552,76605.73,76699.51,76605.72,76667.86,24.7308
553,76667.87,76693.08,76666.00,76688.77,14.9390
554,76688.78,76694.01,76650.00,76661.99,15.1613
555,76661.99,76720.00,76660.00,76719.99,7.9516
556,76720.00,76771.11,76719.99,76771.11,10.0747
557,76771.10,76781.85,76741.58,76742.00,14.2435
558,76742.01,76768.01,76739.32,76744.39,14.3361
559,76744.40,76757.98,76597.22,76603.47,34.8767
560,76603.48,76637.60,76475.61,76475.61,46.3227
561,76475.61,76626.82,76470.40,76626.82,34.4912
562,76626.81,76695.22,76607.31,76658.02,41.5197
563,76658.02,76658.03,76595.99,76618.01,32.9849
564,76618.02,76625.63,76575.96,76575.96,26.1959
565,76575.97,76614.01,76560.19,76585.14,30.5262
566,76585.14,76624.18,76560.19,76560.20,27.8746
567,76560.20,76572.01,76560.19,76564.62,11.8983
568,76564.61,76564.65,76504.62,76564.64,27.0351
569,76564.64,76625.00,76564.64,76581.26,16.3872
570,76581.26,76588.33,76557.07,76581.17,27.8249
571,76581.18,76625.00,76554.00,76604.03,14.6327
572,76604.03,76604.03,76540.00,76546.01,17.0209
573,76546.00,76604.85,76542.00,76603.59,22.0132
574,76603.60,76603.60,76506.18,76553.55,21.0115
